symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
2066,HKG,Shengjing Bank Co Ltd,2066,31771,YES,HK,price/HKG/2066.HK.csv,YES,desc/HKG/2066.txt
2066,TYO,NOMURA EUROPE FIN NEXT NTS TOKYO SE REIT ETN,2066,31771,No,,,No,
5HG,FRA,Hoegh LNG Holdings Ltd.,5HG,31775,YES,F,price/FRA/5HG.F.csv,No,
5HG,SGX,Edition Ltd,5HG,31775,No,,,YES,desc/SGX/5HG.txt
Y92,SGX,Thai Beverage Public Company Limited,Y92,31777,No,,,YES,desc/SGX/Y92.txt
209,FRA,"CATABAS.PHARM.INC.DL-,001",209,31783,YES,F,price/FRA/209.F.csv,No,
WIN,NASDAQ,"Windstream Holdings, Inc.",WIN,31795,YES,NASDAQ,price/NASDAQ/WIN.csv,No,
TST,NASDAQ,"TheStreet, Inc.",TST,31800,YES,NASDAQ,price/NASDAQ/TST.csv,YES,desc/NASDAQ/TST.txt
TST,TSE,Telesta Therapeutics Inc,TST,31800,No,,,YES,desc/TSE/TST.txt
TST,LON,Touchstar PLC,TST,31800,YES,L,price/LON/TST.L.csv,YES,desc/LON/TST.txt
TST,BME,Testa Inmuebles en Renta Socimi SA,TST,31800,No,,,YES,desc/BME/TST.txt
PARS,OTCMKTS,Pharmos Corporation,PARS,31811,No,,,YES,desc/OTCMKTS/PARS.txt
300049,SHE,Inner Mongolia Furui Medical Scie Co Ltd,300049,31816,YES,SZ,price/SHE/300049.SZ.csv,YES,desc/SHE/300049.txt
VRX,NYSE,Valeant Pharmaceuticals Intl Inc,VRX,31817,YES,NYSE,price/NYSE/VRX.csv,YES,desc/NYSE/VRX.txt
VRX,TSE,Valeant Pharmaceuticals Intl Inc,VRX,31817,YES,TO,price/TSE/VRX.TO.csv,YES,desc/TSE/VRX.txt
VRX,ASX,Ventnor Resources Ltd,VRX,31817,YES,AX,price/ASX/VRX.AX.csv,YES,desc/ASX/VRX.txt
VRX,SWX,Valeant Pharma,VRX,31817,No,,,No,
ORT,TSE,Orbite Technologies Inc,ORT,31819,No,,,YES,desc/TSE/ORT.txt
ORT,LON,Ortus VCT PLC,ORT,31819,YES,L,price/LON/ORT.L.csv,YES,desc/LON/ORT.txt
ORT,FRA,ORCO PROP.GRP,ORT,31819,No,,,No,
AJ2,SGX,Ouhua Energy Holdings Limited,AJ2,31823,No,,,YES,desc/SGX/AJ2.txt
AJ2,FRA,PC GOLD INC.,AJ2,31823,No,,,No,
SXR,CVE,SGX Resources Inc,SXR,31830,No,,,YES,desc/CVE/SXR.txt
SXR,ASX,Skywest Airlines Ltd.,SXR,31830,YES,AX,price/ASX/SXR.AX.csv,No,
UUU,TSE,Uranium One Inc,UUU,31831,YES,TO,price/TSE/UUU.TO.csv,YES,desc/TSE/UUU.txt
UUU,NYSEMKT,"Universal Security Instruments, Inc.",UUU,31831,No,,,YES,desc/NYSEMKT/UUU.txt
UUU,ETR,3U Holding AG,UUU,31831,YES,DE,price/ETR/UUU.DE.csv,YES,desc/ETR/UUU.txt
UUU,FRA,3U Holding AG,UUU,31831,YES,F,price/FRA/UUU.F.csv,YES,desc/FRA/UUU.txt
KBCA,EBR,KBC Ancora CVA,KBCA,31838,YES,BR,price/EBR/KBCA.BR.csv,YES,desc/EBR/KBCA.txt
CLM,NYSEMKT,Cornerstone Strategic Value Fund Inc.,CLM,31846,No,,,YES,desc/NYSEMKT/CLM.txt
CLM,CVE,Crystal Lake Mining Corp,CLM,31846,YES,V,price/CVE/CLM.V.csv,YES,desc/CVE/CLM.txt
CLM,FRA,CLUB MEDITERR. (C.R.)EO 4,CLM,31846,No,,,No,
RIIG,LON,Resources in Insurance Group PLC,RIIG,31850,YES,L,price/LON/RIIG.L.csv,YES,desc/LON/RIIG.txt
ITRK,LON,Intertek Group plc,ITRK,31868,YES,L,price/LON/ITRK.L.csv,YES,desc/LON/ITRK.txt
ITRK,OTCMKTS,Interlink Plus Inc,ITRK,31868,No,,,YES,desc/OTCMKTS/ITRK.txt
SLED,LON,Lebanese Co for Development&Reconstructn,SLED,31877,No,,,YES,desc/LON/SLED.txt
601999,SHA,Northern United Publishing&Md(Grp)Co Ltd,601999,31880,YES,SS,price/SHA/601999.SS.csv,YES,desc/SHA/601999.txt
PRS,LON,Paternoster Resources PLC,PRS,31887,YES,L,price/LON/PRS.L.csv,YES,desc/LON/PRS.txt
PRS,BIT,Prelios SpA,PRS,31887,YES,MI,price/BIT/PRS.MI.csv,YES,desc/BIT/PRS.txt
6731,TYO,PIXELA CORP.,6731,31894,No,,,YES,desc/TYO/6731.txt
SVIK,STO,Studsvik AB,SVIK,31899,No,,,YES,desc/STO/SVIK.txt
TRIL,NASDAQ,Trillium Therapeutics Inc.,TRIL,31902,YES,NASDAQ,price/NASDAQ/TRIL.csv,No,
TRIL,NSE,Transformers & Rectifiers (India) Ltd.,TRIL,31902,YES,NS,price/NSE/TRIL.NS.csv,YES,desc/NSE/TRIL.txt
TRIL,TSE,Trillium Therapeutics Inc,TRIL,31902,YES,TO,price/TSE/TRIL.TO.csv,YES,desc/TSE/TRIL.txt
