symbol,reason,origin_name,origin_index
TABLEM,Just not found,TABLEM,7211
PFBHEL,Just not found,PFBHEL,7215
TMCH,Just not found,TMCH,7225
11070,Just not found,11070,7245
WAPCO,Just not found,WAPCO,7279
SBT,Just not found,SBT,7282
69920,Just not found,69920,7284
ECLX,Just not found,ECLX,7292
69510,Just not found,69510,7304
TACP,Just not found,TACP,7318
CHAP,Just not found,CHAP,7319
OIC,Just not found,OIC,7320
KUTN,Just not found,KUTN,7323
81970,Just not found,81970,7330
TKVS,Just not found,TKVS,7336
ZPKO,Just not found,ZPKO,7338
QI1A,Just not found,QI1A,7339
BWGAS,Just not found,BWGAS,7345
TEC1V,Just not found,TEC1V,7366
MALKMT,Just not found,MALKMT,7395
MALK,Just not found,MALK,7396
0EFS,Just not found,0EFS,7401
0J6V,Just not found,0J6V,7402
58650,Just not found,58650,7408
KAGR,Just not found,KAGR,7414
103150,Just not found,103150,7431
JPHM,Just not found,JPHM,7436
HYTK,Just not found,HYTK,7457
HYGB,Just not found,HYGB,7458
FBC2MK,Just not found,FBC2MK,7462
BCOT,Just not found,BCOT,7465
ELGZ,Just not found,ELGZ,7468
elgz,Just not found,elgz,7470
66700,Just not found,66700,7472
49690,Just not found,49690,7494
AT9,Just not found,AT9,7510
5414,Just not found,5414,7545
65770,Just not found,65770,7552
23760,Just not found,23760,7572
KESP,Just not found,KESP,7579
CEGZ,Just not found,CEGZ,7594
cegz,Just not found,cegz,7596
KOPK,Just not found,KOPK,7601
103590,Just not found,103590,7602
KLOG,Just not found,KLOG,7603
klog,Just not found,klog,7606
CCNN,Just not found,CCNN,7621
OGOK,Just not found,OGOK,7625
KASBSL,Just not found,KASBSL,7637
BIPLS,Just not found,BIPLS,7638
49520,Just not found,49520,7666
DEYAAR,Just not found,DEYAAR,7676
ACKP,Just not found,ACKP,7689
COTU,Just not found,COTU,7694
2265,Just not found,2265,7696
3745,Just not found,3745,7697
AKKS,Just not found,AKKS,7725
AZTP,Just not found,AZTP,7727
TITASG,Just not found,TITASG,7728
ALNP,Just not found,ALNP,7729
alnp,Just not found,alnp,7731
3550Z,Just not found,3550Z,7750
FCI,Just not found,FCI,7752
SWJ:GR,Just not found,SWJ:GR,7780
BNKR.L,Just not found,BNKR.L,7789
202960,Just not found,202960,7818
600772,Just not found,600772,7830
52880,Just not found,52880,7864
RMML,Just not found,RMML,7876
5E3A,Just not found,5E3A,7878
P31,Just not found,P31,7888
38720,Just not found,38720,7900
4292,Just not found,4292,7902
DBIH,Just not found,DBIH,7904
BRSZ,Just not found,BRSZ,7973
brsz,Just not found,brsz,7975
65160,Just not found,65160,7980
MCAU,Just not found,MCAU,7986
ZVMZ,Just not found,ZVMZ,8000
zvmz,Just not found,zvmz,8002
DARTAK,Just not found,DARTAK,8006
21090,Just not found,21090,8009
43100,Just not found,43100,8018
PLAKR,Just not found,PLAKR,8032
224810,Just not found,224810,8055
2252,Just not found,2252,8056
22520,Just not found,22520,8057
225220,Just not found,225220,8059
10423,Just not found,10423,8079
ELATH,Just not found,ELATH,8083
ACADB,Just not found,ACADB,8098
NT22,Just not found,NT22,8099
ELNV,Just not found,ELNV,8102
600858,Just not found,600858,8104
29480,Just not found,29480,8129
W81,Just not found,W81,8175
OCTIN,Just not found,OCTIN,8182
JPRDA,Just not found,JPRDA,8192
SCU3,Just not found,SCU3,8199
ABUJ,Just not found,ABUJ,8205
12460,Just not found,12460,8234
4247,Just not found,4247,8235
42470,Just not found,42470,8237
TERL,Just not found,TERL,8244
terl,Just not found,terl,8246
NICB,Just not found,NICB,8247
44960,Just not found,44960,8254
AKGS,Just not found,AKGS,8262
akgs,Just not found,akgs,8263
BOGZ,Just not found,BOGZ,8268
bogz,Just not found,bogz,8270
TVD1,Just not found,TVD1,8292
TVD6,Just not found,TVD6,8293
KGAS,Just not found,KGAS,8294
DANGSU,Just not found,DANGSU,8298
KLGZ,Just not found,KLGZ,8301
klgz,Just not found,klgz,8303
OMOG,Just not found,OMOG,8305
omog,Just not found,omog,8306
656,Just not found,656,8317
25970,Just not found,25970,8339
26260,Just not found,26260,8351
25900,Just not found,25900,8367
PGZF,Just not found,PGZF,8370
pgzf,Just not found,pgzf,8371
KLSBG,Just not found,KLSBG,8375
RZOG,Just not found,RZOG,8376
rzog,Just not found,rzog,8377
SAGZ,Just not found,SAGZ,8379
sagz,Just not found,sagz,8381
Y08,Just not found,Y08,8384
50090,Just not found,50090,8387
VLGZ,Just not found,VLGZ,8395
vlgz,Just not found,vlgz,8397
PB.BD,Just not found,PB.BD,8403
KUOG,Just not found,KUOG,8414
kuog,Just not found,kuog,8416
KUPB,Just not found,KUPB,8420
kupb,Just not found,kupb,8421
TPRB,Just not found,TPRB,8468
tprb,Just not found,tprb,8470
VBBN,Just not found,VBBN,8471
vbbn,Just not found,vbbn,8472
VKAB,Just not found,VKAB,8474
vkab,Just not found,vkab,8477
2192,Just not found,2192,8480
ZAPK,Just not found,ZAPK,8481
zapk,Just not found,zapk,8483
CYBT,Just not found,CYBT,8490
CYBERT,Just not found,CYBERT,8491
WMSP,Just not found,WMSP,8509
FBSP,Just not found,FBSP,8510
13810,Just not found,13810,8526
